Entry,Make,Model,Body,Fit_age_a,Fit_age_b,Fit_age_R2,Fit_miles_a,Fit_miles_b,Fit_miles_R2,Fit_age_cw_R2
161,GMC,Terrain,Sport Utility,25654.04435,0.090412936,0.729510382,105000.0002,0.000832014,-12.29169898,-2.510930907
162,Audi,A5,Convertible,44477.46306,0.150664133,0.922650593,36142.87533,1.15E-05,0.56879722,
163,MAZDA,MX-5 Miata,Convertible,25978.83666,0.074970234,0.911541517,105000.0001,0.0007785,-5.100224548,
164,Cadillac,XT5,Sport Utility,36567.13006,0.105418661,0.048951566,48644.7051,1.57E-05,0.651501259,
165,Nissan,Leaf,Hatchback,29682.83277,0.18524132,0.693951622,105000,0.0015,-10.10607975,
166,Ford,Taurus,Sedan,22436.53276,0.124142773,0.925964835,105000,0.001126875,-4.370131109,
167,Lincoln,MKC,Sport Utility,38306.08752,0.150078656,0.577247578,34056.46148,1.26E-05,0.702719125,
168,Jaguar,F-PACE,Sport Utility,54720.6847,0.101222237,0.401910822,57216.21246,1.69E-05,0.527816507,0.136392878
169,Lexus,LS 460,Sedan,59601.66419,0.125617048,0.880495045,105000,0.0015,-5.082788345,
170,Mercedes-Benz,SL 500,Convertible,77653.09636,0.109678626,0.228750024,105000,0.0015,-10.41244266,
171,Chevrolet,Avalanche,Truck,38748.73237,0.093476595,0.637282824,105000,0.0015,-8.278009894,
172,Cadillac,SRX,Sport Utility,41635.07306,0.145673452,0.883393729,105000,0.0015,-8.662526813,
173,Audi,S5,Convertible,63954.35234,0.149032517,0.909341942,105000.0001,0.000773061,-6.294519048,
174,Toyota,Yaris,Hatchback,17835.28674,0.098955222,0.914143305,17261.91109,9.27E-06,0.892045835,0.438643349
175,Mercedes-Benz,GL 450,Sport Utility,66910.35385,0.160059287,0.85939007,105000,0.0015,-5.315611011,
176,HUMMER,H2,Sport Utility,134827.2278,0.127105102,0.049406908,16999.00002,0.0015,-3.516043052,
177,Toyota,Venza,Sport Utility,17830.61475,0.05,0.035185877,10499.01033,0.0015,-18.57508301,
178,Ford,Transit Connect,Van,31340.13656,0.10422336,0.556825884,30014.3073,1.06E-05,0.647075327,-0.668001128
179,INFINITI,G35,Sedan,21382.92841,0.072696702,0.043741019,105000,0.0015,-18.63400337,
180,Ford,E-350 and Econoline 350,Van,27763.72998,0.073909241,0.233471746,117760.7551,0.00125955,-2.440518987,
181,BMW,M5,Sedan,97979.83454,0.129024832,0.734227991,109390,0.0015,-0.674382836,0.522072862
182,Mercedes-Benz,C 250,Sedan,32684.87662,0.135630907,0.401162066,105000,0.0015,-34.55963304,
183,Kia,Sorento,Sport Utility,29294.9938,0.125187919,0.611261449,105000.0001,0.000774787,-5.520307826,
184,Lexus,RX 330,Sport Utility,17122.84753,0.05,-0.140996885,10000,0.0015,-32.92441333,
185,Lexus,GX 460,Sport Utility,51372.89343,0.10572126,0.714219163,50774.50359,8.19E-06,0.84778338,
186,Acura,TSX,Wagon,39024.22677,0.132453306,0.711290216,105000,0.0015,-13.15120159,
187,Mercedes-Benz,CLS 550,Sedan,164879.3962,0.331737731,0.72850572,99315.00001,0.0015,-1.545220319,
188,Toyota,C-HR,Sport Utility,23880.588,0.115140424,0.455498352,22999.48588,1.02E-05,0.692404286,-0.586374062
189,Mercedes-Benz,GLK 350,Sport Utility,42890.16596,0.137848888,0.689152989,105000,0.0015,-17.48532603,
190,Chevrolet,Volt,Hatchback,23519.35325,0.09589296,0.63760515,105000,0.0015,-16.37852183,
191,Mercedes-Benz,SL 550,Convertible,108705.4893,0.153577243,0.791251352,105000,0.0015,-11.54609278,
192,Jaguar,F-TYPE,Coupe,79540.83797,0.107321495,0.349713988,80465.06369,2.51E-05,0.815518838,-0.886890678
193,Audi,Q3,Sport Utility,38246.37916,0.157420924,0.895173538,38441.08221,1.60E-05,0.781228703,0.643477254
194,Audi,A8,Sedan,56486.98448,0.116267785,0.850634872,105000,0.0015,-6.495393547,
195,Lexus,IS 200t,Sedan,32945.3442,0.103521857,0.287642088,105000.0001,0.00077172,-118.892698,
196,BMW,M4,Coupe,102260.6159,0.216234525,0.369327728,102077.8442,2.68E-05,0.490755793,0.207359088
197,Dodge,Journey,Sport Utility,27397.01464,0.147837422,0.639258607,22955.75203,1.17E-05,0.813762747,
198,MINI,Cooper Clubman,Wagon,39405.51446,0.18167194,0.892030404,33255.21778,2.08E-05,0.812363248,0.737172372
199,Hyundai,Accent,Sedan,14421.7919,0.090960514,0.854479809,105000.0001,0.00077285,-6.029502489,
200,Lexus,IS 350,Sedan,47733.40335,0.126686417,0.942743671,39716.2134,1.03E-05,0.938907804,
201,Lexus,SC 430,Convertible,43540.67124,0.081200704,0.334608548,105000,0.0015,-12.88637097,
202,Jeep,Liberty,Sport Utility,12660.22899,0.05,0.306975333,105000,0.0015,-14.74149382,
203,Subaru,WRX,Sedan,32244.1725,0.089200009,0.243189693,31588.29662,7.84E-06,0.651580316,-3.837532439
204,BMW,320i,Sedan,30539.60172,0.130564956,0.695583864,105000.0001,0.000771406,-21.85361639,
205,INFINITI,QX50,Sport Utility,45095.07309,0.215431334,0.912929095,43006.55342,2.02E-05,0.810142962,
206,Nissan,Xterra,Sport Utility,37740.87813,0.12866535,0.763320767,10000,0.0015,-3.021952615,
207,Lexus,ES 300h,Sedan,51242.55165,0.15010492,0.925980661,45005.53519,1.52E-05,0.835891398,0.654281399
208,MAZDA,CX-9,Sport Utility,43734.99614,0.168368697,0.942507965,35357.08353,1.40E-05,0.794492408,0.599383795
209,Lexus,RC 350,Coupe,56219.42441,0.149991015,0.872475313,49399.78771,1.23E-05,0.802031924,
210,Lexus,NX 200t,Sport Utility,31826.86521,0.052157658,0.218920683,105000,0.001126875,-194.3150602,
211,RAM,3500,Truck,53656.65792,0.05,0.252999302,52180.1708,4.60E-06,0.370952379,
212,Volvo,XC60,Sport Utility,52354.14215,0.206096105,0.855120753,50644.54487,1.57E-05,0.970092031,0.811336961
213,Mercedes-Benz,C 63 AMG,Coupe,79668.82965,0.124130163,0.932767564,75681.33344,1.57E-05,0.936661937,-0.158614914
214,Land Rover,Range Rover Velar,Sport Utility,62520.17457,0.128585804,0.044942002,69768.5873,2.50E-05,0.632614872,-0.516008651
215,Mercedes-Benz,E 63 AMG,Sedan,115023.6735,0.157112571,0.964364748,105914.6838,1.60E-05,0.805564017,0.33654803
216,Toyota,Land Cruiser,Sport Utility,94957.85507,0.103033591,0.969502469,87549.5,0.0015,0.404506569,0.441857741
217,Volkswagen,Touareg,Sport Utility,48126.94945,0.151015631,0.597458568,105000,0.0015,-5.126898634,
218,Volvo,S60,Sedan,38310.43886,0.16801566,0.905050146,40930.19616,2.30E-05,0.893774107,0.671621667
219,Nissan,350Z,Coupe,20250.85155,0.05,-0.028851854,105000,0.001126875,-22.05589585,
220,Lincoln,MKZ,Sedan,39290.63264,0.165321956,0.630347213,37460.13025,1.61E-05,0.854897927,0.569673151
221,Lincoln,MKX,Sport Utility,65495.39624,0.215586649,0.805508385,53106.85714,0.0015,0.321018694,
222,Jaguar,XF,Wagon,59751.36061,0.177695715,0.66021388,63766.2,0.0015,0.600182497,0.217597641
