,@context,@type,Condition,Location,Options,bodyType,brand,color,description,driveWheelConfiguration,image,manufacturer,mileageFromOdometer_@type,mileageFromOdometer_value,model,name,offers_@type,offers_availability,offers_itemCondition,offers_price,offers_priceCurrency,productionDate,url,vehicleEngine,vehicleIdentificationNumber,vehicleInteriorColor,vehicleTransmission
20,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABP, ABS, AM/FM Stereo, AURORA BLACK PEARL, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input",Sport Utility,Kia,Black,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABP, ABS, AM/FM Stereo, AURORA BLACK PEARL, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input",2 wheel drive - front,https://images.autotrader.com/hn/c/467de04d5b4e4440a5069be7f66422c6.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro LX,Offer,http://schema.org/InStock,http://schema.org/NewCondition,26925,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=535916258,4-Cylinder,KNDCB3LC0K5338700,Charcoal,Automatic
21,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",Sport Utility,Kia,White,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",2 wheel drive - front,https://images.autotrader.com/hn/c/e5500526317149529f41a0c62481366c.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro LX,Offer,http://schema.org/InStock,http://schema.org/NewCondition,26925,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=536443275,4-Cylinder,KNDCB3LC5K5351782,Charcoal,Automatic
22,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",Sport Utility,Kia,Red,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",2 wheel drive - front,https://images.autotrader.com/hn/c/5fd3130bfc1d4447a55163aa0c71519c.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro LX,Offer,http://schema.org/InStock,http://schema.org/NewCondition,26875,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=537366430,4-Cylinder,KNDCB3LC2K5350573,Gray,Automatic
23,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",Sport Utility,Kia,Red,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",2 wheel drive - front,https://images.autotrader.com/hn/c/7a4353405ba9483e8f8ffd0e69432d20.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro LX,Offer,http://schema.org/InStock,http://schema.org/NewCondition,26875,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=537480109,4-Cylinder,KNDCB3LC0K5352161,Charcoal,Automatic
24,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, BA",Sport Utility,Kia,Red,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, BA",2 wheel drive - front,https://images.autotrader.com/hn/c/92af9198bbd94ab3aa4ab070b5de65aa.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro LX,Offer,http://schema.org/InStock,http://schema.org/NewCondition,26850,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=533169668,4-Cylinder,KNDCB3LC9K5310460,Charcoal,Automatic
25,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, BA",Sport Utility,Kia,Red,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, BA",2 wheel drive - front,https://images.autotrader.com/hn/c/52538894834d477e87cd15aec385f69b.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro LX,Offer,http://schema.org/InStock,http://schema.org/NewCondition,26850,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=533168718,4-Cylinder,KNDCB3LC9K5290047,Charcoal,Automatic
26,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",Sport Utility,Kia,Red,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",2 wheel drive - front,https://images.autotrader.com/hn/c/f8d5cc899d24400295d42b12468fb55d.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro LX,Offer,http://schema.org/InStock,http://schema.org/NewCondition,26825,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=535781567,4-Cylinder,KNDCB3LC6K5350043,Charcoal,Automatic
27,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",Sport Utility,Kia,Red,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",2 wheel drive - front,https://images.autotrader.com/hn/c/7ef9778b6b7749d18ab04f16f111bb34.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro LX,Offer,http://schema.org/InStock,http://schema.org/NewCondition,26825,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=535781612,4-Cylinder,KNDCB3LC0K5350572,Gray,Automatic
28,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",Sport Utility,Kia,Red,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",2 wheel drive - front,https://images.autotrader.com/hn/c/236281d316a74812afc1707bd61c65b4.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro LX,Offer,http://schema.org/InStock,http://schema.org/NewCondition,26825,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=536443309,4-Cylinder,KNDCB3LC9K5352160,Charcoal,Automatic
29,http://schema.org/,Car,New,"Los Angeles, CA","4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",Sport Utility,Kia,Blue,"Location: Los Angeles, CA. This 2019 Kia Niro includes 4-Wheel Disc Brakes, 99, A/C, ABS, AM/FM Stereo, Adjustable Steering Wheel, Aluminum Wheels, Automatic Headlights, Auxiliary Audio Input, Back-Up Camera",2 wheel drive - front,https://images.autotrader.com/hn/c/f32f8e449ca8487b8b822ce1aebc2019.jpg,Kia,QuantitativeValue,,Niro,New 2019 Kia Niro LX,Offer,http://schema.org/InStock,http://schema.org/NewCondition,26580,USD,2019,https://www.autotrader.com/cars-for-sale/vehicledetails.xhtml?listingId=538622341,4-Cylinder,KNDCB3LC2K5322613,Charcoal,Automatic
