Make,Model,Body,Count
Volkswagen,Golf,Hatchback,146
Ford,Edge,Sedan,146
Nissan,Armada,SUV,144
Mitsubishi,Outlander,SUV,143
GMC,Sierra 2500,Truck,142
Acura,TSX,Sedan,138
Ford,Focus,Hatchback,135
Jeep,Patriot,SUV,135
Chevrolet,Avalanche,Truck,134
Honda,Civic,Hatchback,134
Ford,Transit 350,Van,132
Chevrolet,TrailBlazer,SUV,132
Buick,LaCrosse,Sedan,132
Porsche,Macan,SUV,131
MAZDA,MAZDA3,Hatchback,131
Nissan,Rogue Sport,SUV,130
Mercedes-Benz,Metris,Van,130
Chrysler,Pacifica,Van,129
Mercedes-Benz,SL 500,Convertible,129
Mercedes-Benz,GLK 350,SUV,129
Chevrolet,Silverado 3500,Truck,128
Kia,Sportage,SUV,125
RAM,ProMaster,Van,125
Lexus,LS 460,Sedan,125
Nissan,Xterra,SUV,124
Chrysler,200,Sedan,124
Ford,Transit 250,Van,123
Chevrolet,Express 2500,Van,123
BMW,328i xDrive,Sedan,123
BMW,535i,Sedan,122
Cadillac,XT5,SUV,122
Ford,Transit Connect,Van,121
Buick,Encore,SUV,121
BMW,528i,Sedan,120
Volvo,S60,Sedan,120
Tesla,Model X,SUV,120
INFINITI,G35,Sedan,119
Cadillac,Escalade ESV,SUV,118
INFINITI,G37,Sedan,117
MAZDA,MAZDA6,Sedan,117
Audi,A8,Sedan,116
Dodge,Dakota,Truck,116
MAZDA,MX-5 Miata,Convertible,115
Acura,TLX,Sedan,115
Volvo,XC60,SUV,114
Volkswagen,Beetle,Hatchback,114
Lexus,RX 330,SUV,110
Ford,E-150 and Econoline 150,Van,110
Land Rover,Range Rover Evoque,SUV,109
Chevrolet,Trax,SUV,108
Toyota,FJ Cruiser,SUV,108
Kia,Forte,Sedan,108
Volkswagen,Golf,Wagon,108
Ford,F450,Truck,107
Mercedes-Benz,SL 550,Convertible,107
Audi,A3,Sedan,105
Honda,Ridgeline,Truck,105
Mitsubishi,Outlander Sport,SUV,105
Nissan,Leaf,Hatchback,104
Subaru,Legacy,Sedan,104
BMW,Z4,Convertible,104
MAZDA,CX-9,SUV,103
Ford,E-250 and Econoline 250,Van,101
Lexus,GX 470,SUV,100
BMW,i3,Hatchback,100
Audi,Q3,SUV,100
Lincoln,MKZ,Sedan,99
Lexus,GX 460,SUV,99
Ford,Flex,SUV,98
Lexus,SC 430,Convertible,98
Acura,ILX,Sedan,97
Chevrolet,Camaro,Convertible,97
Audi,A3,Hatchback,97
Subaru,Crosstrek,SUV,96
FIAT,500,Hatchback,93
Volkswagen,Jetta,Wagon,93
INFINITI,FX35,SUV,93
Audi,A5,Coupe,92
INFINITI,QX80,SUV,92
Toyota,Venza,SUV,92
Ford,Thunderbird,Convertible,91
Toyota,Corolla,Hatchback,91
Mercedes-Benz,A 220,Sedan,90
Volkswagen,Touareg,SUV,89
BMW,M5,Sedan,89
INFINITI,QX56,SUV,89
Nissan,370Z,Coupe,86
INFINITI,QX50,SUV,86
Lexus,NX 200t,SUV,86
Volkswagen,Beetle,Convertible,85
BMW,535i xDrive,Sedan,84
Lincoln,Town Car,Sedan,84
Lincoln,Navigator,SUV,83
Toyota,C-HR,SUV,83
Audi,A7,Hatchback,82
Cadillac,XTS,Sedan,82
BMW,M3,Coupe,81
Subaru,Outback,SUV,80
Ford,Fiesta,Hatchback,80
BMW,530i,Sedan,79
MINI,Cooper Clubman,Wagon,78
Hyundai,Accent,Sedan,78
Chevrolet,Express 1500,Van,78
Lexus,ES 330,Sedan,78
Mercedes-Benz,CLS 550,Sedan,77
Mercedes-Benz,S 450,Sedan,77
Honda,Element,SUV,77
Ford,Fiesta,Sedan,76
Saturn,Vue,SUV,76
Land Rover,Discovery Sport,SUV,76
Dodge,Dart,Sedan,75
Ford,Excursion,SUV,75
Bentley,Continental,Coupe,75
Chevrolet,Blazer,SUV,75
INFINITI,G37,Coupe,74
Mercury,Grand Marquis,Sedan,74
Jaguar,XF,Sedan,73
Nissan,Quest,Van,73
Chevrolet,Volt,Hatchback,73
Hyundai,Genesis,Sedan,73
Subaru,Impreza WRX,Sedan,72
Subaru,WRX,Sedan,72
BMW,X6,SUV,72
Volkswagen,e-Golf,Hatchback,72
Volkswagen,CC,Sedan,71
Scion,tC,Coupe,71
Dodge,Ram 3500 Truck,Truck,70
Chevrolet,HHR,Wagon,70
Toyota,Yaris,Sedan,70
smart,fortwo,Coupe,69
BMW,328i,Convertible,69
Kia,Sedona,Van,69
Mercedes-Benz,S 560,Sedan,68
Cadillac,De Ville,Sedan,68
Nissan,Kicks,SUV,68
Jaguar,F-PACE,SUV,68
Chrysler,PT Cruiser,Wagon,68
Volkswagen,Golf R,Hatchback,66
Toyota,Prius Prime,Hatchback,66
Jeep,Commander,SUV,66
GMC,Canyon,Truck,65
BMW,X7,SUV,65
Cadillac,DTS,Sedan,65
Honda,Passport,SUV,64
Hyundai,Veloster,Hatchback,64
Maserati,Ghibli,Sedan,64
BMW,325i,Sedan,63
Lexus,CT 200h,Hatchback,63
BMW,M3,Convertible,63
Mercedes-Benz,E 320,Sedan,63
Audi,Q8,SUV,63
BMW,750Li,Sedan,63
Honda,S2000,Convertible,62
BMW,330i xDrive,Sedan,61
BMW,X2,SUV,61
Nissan,Juke,SUV,61
Porsche,Cayman,Coupe,61
Audi,S4,Sedan,61
Bentley,Continental,Convertible,60
Audi,S5,Coupe,60
BMW,328i,Coupe,60
Freightliner,Sprinter,Van,60
Nissan,NV,Van,60
Lexus,IS 350,Sedan,60
Kia,Rio,Sedan,59
MINI,Cooper Countryman,Wagon,59
Cadillac,ATS,Sedan,59
Mercedes-Benz,C 250,Sedan,59
Toyota,Land Cruiser,SUV,58
Lexus,RX 450h,SUV,58
BMW,528i xDrive,Sedan,58
Jaguar,XJ,Sedan,58
Chevrolet,Cobalt,Sedan,57
MINI,Cooper,Convertible,57
Lexus,ES 300,Sedan,57
BMW,335i,Convertible,57
Lexus,LS 430,Sedan,57
Chevrolet,Monte Carlo,Coupe,57
Maserati,Quattroporte,Sedan,57
HUMMER,H3,SUV,57
Ford,Expedition EL,SUV,56
BMW,320i,Sedan,56
Pontiac,G6,Sedan,55
Chevrolet,Spark,Hatchback,55
BMW,335i,Sedan,54
Hyundai,Kona,SUV,54
Lexus,IS 200t,Sedan,53
Scion,xB,Wagon,53
BMW,X4,SUV,53
Chevrolet,Sonic,Sedan,53
Ford,Explorer Sport Trac,Truck,53
Subaru,Impreza,Wagon,52
BMW,M340i,Sedan,52
Lexus,RC 350,Coupe,52
Buick,Le Sabre,Sedan,51
Maserati,GranTurismo,Coupe,51
Land Rover,Range Rover Velar,SUV,51
MAZDA,MAZDA5,Van,51
Buick,Regal,Sedan,51
Volvo,S40,Sedan,51
Mercedes-Benz,GLE 43 AMG,SUV,51
Subaru,Impreza,Sedan,49
