Entry,Make,Model,Body,Fit_age_a,Fit_age_b,Fit_age_c,Fit_age_R2,Fit_miles_a,Fit_miles_b,Fit_miles_c,Fit_miles_R2,Fit_age_cw_R2
154,Land Rover,Discovery Sport,Sport Utility,25503.99683,0.684619462,23570.71775,0.820031768,23057.76789,0.000327506,27015.3169,0.774824345,0.793527992
155,INFINITI,QX60,Sport Utility,32408.37753,0.087460265,5.50E-08,0.581761561,105000.0001,0.000441783,25207.02962,0.022512122,
156,Lexus,RX 450h,Sport Utility,60711.14258,0.165126166,2316.011594,0.970943139,43021.36251,2.03E-05,11153.99588,0.930895468,
157,Subaru,Impreza WRX,Sedan,30652.3781,0.070547399,1.02E-12,0.412012922,105000,0.0015,16127.2,0,
158,Lexus,CT 200h,Sedan,23020.02743,0.106645937,4617.225975,0.701826299,10000,0.0015,15481.69772,-0.740414924,
159,FIAT,500,Hatchback,10000,0.529000657,9098.848299,-0.009468618,68431.74435,0.002995406,9816.800424,-3.06E-14,
160,Audi,S4,Sedan,50095.63105,0.139002549,1767.5328,0.889065589,105000,0.001497526,21001.43258,1.41E-11,
161,GMC,Terrain,Sport Utility,25654.04458,0.090412939,4.02E-09,0.729510381,19246.21919,1.47E-05,7007.232901,0.717430626,-2.510930907
162,Audi,A5,Convertible,41311.9047,0.221534921,6388.791369,0.926393904,36142.85995,1.15E-05,2.34E-09,0.56879722,
163,MAZDA,MX-5 Miata,Convertible,23891.23199,0.110717968,3900.658884,0.911770761,20811.17121,1.91E-05,4536.171918,0.856990354,
164,Cadillac,XT5,Sport Utility,19409.21302,1,26149.5568,0.028421591,23947.00263,8.96E-05,26963.78524,0.733281941,
165,Nissan,Leaf,Hatchback,29682.83173,0.185241315,6.58E-12,0.693951621,105000,0.0015,7359.965519,5.77E-15,
166,Ford,Taurus,Sedan,22436.53393,0.124142786,1.85E-12,0.925964823,105000,0.001126859,11491.68966,3.44E-10,
167,Lincoln,MKC,Sport Utility,38306.07505,0.150078522,7.27E-10,0.57724755,21983.25249,5.78E-05,17882.44789,0.797219349,
168,Jaguar,F-PACE,Sport Utility,54720.66229,0.10122191,1.23E-06,0.401909954,25480.54268,0.000123904,33642.56039,0.651431565,0.136392878
169,Lexus,LS 460,Sedan,59601.67059,0.125617066,2.10E-16,0.880495047,105000,0.0015,18072.50002,0,
170,Mercedes-Benz,SL 500,Convertible,77653.10945,0.109678637,1.12E-08,0.228750005,105000,0.0015,12551.39286,4.36E-14,
171,Chevrolet,Avalanche,Truck,38748.74139,0.093476616,2.89E-11,0.637282841,105000,0.0015,13652.32143,0,
