Entry,Make,Model,Fit_age_a,Fit_age_b,Fit_age_c,Fit_age_R2,Fit_miles_a,Fit_miles_b,Fit_miles_c,Fit_miles_R2
19,Ford,F250,48505.30094044256,0.14116465406708806,10486.488363410524,0.7459689826077331,30672.70549581742,0.0029999999999999996,24285.440618751756,0.29704398933147536
20,RAM,1500,29777.55864916906,0.19006827851049124,10912.514086045861,0.44116422667843513,23317.184980813094,2.005970798737467e-05,14291.66653049631,0.5197578943638226
21,Volkswagen,Jetta,22599.658484287702,0.16901435915730192,2040.1338716475786,0.8239532757968004,17256.582935445484,2.368270796497897e-05,5137.985302041348,0.8449446690820388
22,Ford,Explorer,41044.62153828626,0.20782756745457984,4303.403682780206,0.6226213086014668,38006.53924507696,1.589597389741125e-05,4263.64083206699,0.7742175179798665
23,BMW,328i,45154.26911412045,0.288025017286942,6595.706552401367,0.8842797383218346,25019.787462541524,1.4131216623126462e-05,2886.0634626876504,0.7910443468934898
24,Porsche,911,109769.78075205928,0.16297938412588447,48576.30388464199,0.30209471538353716,136173.33266784824,4.929011403702111e-05,38231.22901074213,0.45689833873658514
25,Dodge,Challenger,30927.98722990261,0.06014961099621952,3.086171316736473e-11,0.10440937930691507,37156.01747670061,9.683202421253477e-05,19407.519038315982,0.654217675834595
26,Toyota,Sienna,36914.07401798674,0.11752855969533663,65.00497970179252,0.8561797555123178,38202.950392260755,1.4541877161657613e-05,3572.2397676228134,0.9214555993957929
27,Chevrolet,Tahoe,49838.64224477213,0.11628998618892987,1.8108744111709502e-12,0.907477440247143,51240.31700225433,9.545138237145376e-06,7.430041321337351e-10,0.8321828546854415
28,Honda,Fit,17933.793129340884,0.12073311377868888,2340.6752284287127,0.9368597726744137,14477.45997073354,1.6696824829939343e-05,4599.913918480907,0.945200759443573
29,Ford,Fusion,37475.41645659181,0.29866552083181863,4797.584810215942,0.6693037657597589,22886.112615968203,3.971803026541033e-05,7731.7884977940885,0.8252339280489668
30,BMW,X5,67468.1948356198,0.20798235142056584,3115.894506935145,0.9475137698735727,63462.709277352275,1.980431673587245e-05,3862.855998215392,0.9418901370814663
31,Chevrolet,Corvette,62691.76057920872,0.07766718095891395,3.3699873242004996e-15,0.7022698570886858,45567.12951895379,2.752136670294855e-05,11530.115356899367,0.7552321759831062
32,Chevrolet,Camaro,33526.09182783651,0.17082530638705964,6346.904032662525,0.49499653484892536,27810.06132747701,4.011600570676485e-05,12894.129301587707,0.6867013168043972
33,Honda,Pilot,40071.22113899517,0.14671418506030198,1985.3612232941057,0.9078720729056632,35999.21454220627,1.1187387562647144e-05,2628.4280383822957,0.945295437291388
34,Lexus,RX 350,68400.67610781301,0.2693856350274056,8276.632356771755,0.940971375289614,47819.984693744234,2.5614532721885812e-05,10336.2889654937,0.9443149327630592
35,Mercedes-Benz,C 300,38095.494404732046,0.16553034700652117,3041.5965879012965,0.8992577568430635,36336.94208064079,1.9257450681226935e-05,4449.133962976074,0.8439519148268104
36,Honda,Odyssey,40292.23412465651,0.1340717706125035,1.476863522833138e-14,0.9292312226052315,36909.541666423764,1.059668909849176e-05,3.63691759904753e-08,0.8970680765413062
37,Volkswagen,Tiguan,22771.94971198157,0.2330067803532753,5583.152797261353,0.8975539239891553,16497.888386403258,0.0011819299061281005,12963.722611029021,0.8253024996518721
38,Ford,Escape,26963.652278562306,0.14208643476127558,1515.571637122665,0.6773452999899261,22698.2182996296,2.4935663132718334e-05,6360.1242334472,0.8747004223167288
39,Ford,Edge,31265.980439465897,0.13212853714209175,1.370654928261033e-10,0.5496496044414205,30909.724860173676,2.184741378363889e-05,6443.132596644228,0.8960733422773067
40,GMC,Sierra 1500,47777.55429512371,0.11142695469629439,1126.6062001647351,0.7773711709812959,10000.000000577325,0.002999975103119589,22447.94389054765,-0.01800751567807546
41,Nissan,Altima,19037.250218246492,0.22413294683212992,4343.3965739345795,0.8193597475910219,19708.408850229967,1.9008422712632284e-05,4472.166073005662,0.8310953433606881
42,MINI,Cooper,25118.860805225275,0.16915642538313444,3323.9183019463994,0.8803337921156926,24467.322620190276,2.9226536377781825e-05,5346.075776677313,0.886894704577884
43,Volkswagen,Golf,28936.41432850277,0.19149936162911196,2422.9352228114044,0.7873923512585899,12243.025911196935,0.0029999999999999996,12951.914440311382,0.6835000496111712
44,Chevrolet,Suburban,57217.21835423936,0.15935842947324608,2846.2050534634545,0.7441194473399366,57895.73621241511,1.1281258164880948e-05,2.4569730419036345e-11,0.9205870289786542
45,Mercedes-Benz,E 350,51140.46879693385,0.17571088036361715,2421.1766208833237,0.8905530717169253,46718.4408261999,2.9882893384574638e-05,8833.485132155389,0.8277316567845223
46,Subaru,Outback,34652.936584203446,0.16518662788231445,2791.869235922141,0.8860947873833815,31292.243128554073,9.731244318715059e-06,6.964277126557741e-09,0.8010591915167916
47,BMW,X1,42915.1020580606,0.1944056138002006,9.881756423877307e-12,0.9201199621351948,29404.59924352508,3.105698953306337e-05,10526.397908640485,0.8952385489079925
48,Ford,Ranger,35745.17392318376,0.17226397446248026,5916.686893853007,0.8509087621406887,26999.96746459637,2.636411343351247e-05,7775.590181366846,0.8170914532705209
49,Audi,A4,39914.37235467524,0.21492190925157864,3612.311556733492,0.9103323080959638,36161.43951839471,1.6481846057386165e-05,1736.2701314904257,0.7770643004856611
50,Acura,MDX,55139.462830584795,0.19069791577663883,2871.052617208504,0.8983406369208706,44804.323389182726,1.433994105579976e-05,3286.707763332487,0.9052943586385529
51,GMC,Yukon,50959.529065846116,0.11341269449599181,1.8053109132392872e-10,0.8825517758510528,105000.0,0.0015,24684.96386400205,1.7763568394002505e-15
52,Volkswagen,GTI,33793.11503449961,0.19753625178741444,4308.2895073451555,0.8902807629388286,25537.442325233016,1.7149803167373966e-05,5011.967900843799,0.8831186377244904
53,Chevrolet,Silverado 2500,56655.8623347005,0.1191819344445586,6220.297286341963,0.7654291893667478,42948.91983259154,5.621614308843966e-06,1396.6602635599354,0.4831444211450894
54,Audi,Q5,40787.03773778389,0.22611811992708572,7170.582094904987,0.8776899506444373,37094.092045922866,1.823482097364346e-05,6691.912506896863,0.8846655115612183
55,GMC,Acadia,34119.54035654567,0.10241330966912454,4.181260874566593e-12,0.669796607583855,32830.68868443941,1.272022179297177e-05,3930.6858346442013,0.8114906032535156
56,Dodge,Durango,41347.97505966478,0.1289038619155847,1.7964155354191096e-14,0.6454463523114902,38842.99836716767,9.563366251155399e-06,7.259956778544324e-10,0.6796702981905431
57,Ford,F350,48354.1771832508,0.13002857255340322,10874.848855615202,0.7477457787351532,40999.075331491484,9.90192758085537e-06,7951.002513318706,0.6159405238064908
58,Ford,Focus,29937.75290725679,0.23379539882336786,2689.441146938856,0.5011430829162975,17789.978785914926,9.282858446791786e-06,1.5884539635124643e-06,0.38931248299834786
59,Land Rover,Range Rover Sport,95045.87545377917,0.1933605964826544,2.9552962609372384e-11,0.9226075920878504,83068.97668214265,2.5286828285549145e-05,10501.507482574129,0.9139452966384316
60,Volkswagen,Passat,26750.339335012606,0.20654729059041535,2934.350682872008,0.781390187488138,21839.11537189881,3.4388546188577754e-05,7249.8894326465825,0.867654270803504
62,Cadillac,Escalade,73133.93644128484,0.1366904398348741,7.561389597679317e-14,0.935388965987405,71838.57343341233,1.464510744731103e-05,3290.606450818118,0.8446265778178424
