Entry,Make,Model,Body,Fit_age_a,Fit_age_b,Fit_age_R2,Fit_miles_a,Fit_miles_b,Fit_miles_R2,Fit_age_cw_R2
21,Volkswagen,Jetta,Sedan,22883.802116376566,0.13144934941804032,0.8068482215718499,20193.32849026977,1.2188916465810133e-05,0.6994597578996535,0.607488473772609
22,Chevrolet,Tahoe,Sport Utility,52510.23081509651,0.13436876766149122,0.7757741879136214,41729.22767458176,8.606378437723675e-06,0.4743863825350978,
23,Mercedes-Benz,C 300,Sedan,47726.37929079189,0.18167079036271983,0.9021504618916026,47082.81398759376,2.1361567547038287e-05,0.860104196996531,0.8932095158386498
24,Honda,Odyssey,Van,40210.89934859241,0.14576335034427473,0.9138716218022629,30105.91727771054,9.65332320406343e-06,0.5743552074168508,0.7752029207428429
25,Nissan,Sentra,Sedan,19516.77813741859,0.13293670506829725,0.7938503690502791,18427.572040437528,1.2070926248837315e-05,0.8176873576754218,
26,Chevrolet,Corvette,Coupe,69457.52092952897,0.08333878220865792,0.6103838421509711,46560.258272527084,1.4388690814133528e-05,0.48820796890649465,
27,Toyota,Tundra,Truck,47338.86299116166,0.10338053956584266,0.8709505882793972,44390.7910883314,8.979060282001262e-06,0.848552520207999,0.34425699388931597
28,Ford,Fusion,Sedan,24210.31674889723,0.13533977983027362,0.6627507085781382,23693.76269370879,1.2138445986441543e-05,0.6525491993847372,0.38096135228455186
29,Toyota,Sienna,Van,35614.52799621421,0.12582744698935985,0.8859195257119985,34944.5384591174,1.0808772541639539e-05,0.7287484315200112,0.7331616834899317
30,Honda,Pilot,Sport Utility,41373.43248540162,0.1414605340727607,0.9330336484218897,34161.30353628597,9.578440791707041e-06,0.6799080131524957,0.7514262165142284
31,Nissan,Rogue,Sport Utility,23858.459961837787,0.12621131384633497,0.7835710666382854,24323.5170358174,1.1573741322248248e-05,0.7669758471345136,0.542413200212914
32,BMW,X3,Sport Utility,47727.760191587586,0.1718360406646203,0.9023970627509732,48698.761665713115,1.8560068887038545e-05,0.8678715594645086,0.8897251353836975
33,Toyota,Prius,Sedan,29951.271963173403,0.1255896304462774,0.8662986115179461,21352.174873705804,7.921362967844153e-06,0.5291275840920846,0.4564217999512218
34,Volkswagen,Tiguan,Sport Utility,27808.06676402356,0.13812792241437383,0.8415965987622506,28441.811399599646,1.5651264758812655e-05,0.8381306448957955,0.7244480633155841
35,Toyota,4Runner,Sport Utility,43151.00023855824,0.09860802232040577,0.9151302737925427,41550.54202249211,8.916451154732294e-06,0.8448648874451713,0.613076814399714
36,Chevrolet,Malibu,Sedan,21747.834868263657,0.1253019017530578,0.7416517418254907,20660.32825783209,1.0902132260558005e-05,0.6048537904457933,0.49101376703111255
37,Chevrolet,Camaro,Coupe,25092.99603173441,0.050626721510361745,0.31320630698554464,31640.023983461953,1.1670450068145618e-05,0.5417992866997436,-1.2333264476813106
38,Lexus,RX 350,Sport Utility,63995.62117402071,0.1767454849331657,0.9093735343979513,49618.88378056009,1.354216374998144e-05,0.8627021476659724,
39,Ford,Edge,Sport Utility,37789.42034658004,0.16129863735707325,0.7738115429926586,30799.47999713581,1.1512257197690804e-05,0.6318558756133408,0.6166519934220094
40,Volkswagen,Passat,Sedan,23581.240992181847,0.12203131354620494,0.7743042632035839,21607.21629231767,1.2275063386262227e-05,0.6436615233911401,0.4789466859829459
41,Dodge,Challenger,Coupe,60057.99596419911,0.18564605788799135,-0.1450765107876466,37252.66098622508,1.2432774445472704e-05,0.3855767444429171,-1.0842337459099918
42,Dodge,Charger,Sedan,43752.364879818015,0.1831072425280238,0.569995167547894,30086.744199635585,9.856996703295415e-06,0.5077570961647982,0.45285196055937615
43,Audi,A4,Wagon,42268.65970998704,0.16810153072592487,0.8931604157614511,38467.168967782316,1.682595125646821e-05,0.7829937439458853,0.8283953265253787
44,Mercedes-Benz,E 350,Sedan,60532.88719069375,0.19028259445308002,0.9520784763494667,54728.97208684219,1.904723227929549e-05,0.8007140544092688,0.8332185764263298
45,Acura,MDX,Sport Utility,55726.29915796358,0.16805282461017682,0.9375089670335888,39705.12420758766,1.0753662550326606e-05,0.6189783908384305,0.8493562576703139
46,Chevrolet,Impala,Sedan,23096.308088329184,0.12619469365859692,0.6240363357242585,20692.98908178378,9.429333110830207e-06,0.490919679677044,
47,Ford,F350,Truck,62148.133554712185,0.10288857862537958,0.7619467602268285,44333.5444016632,6.593669170491732e-06,0.49768817482711547,0.45590855160539956
48,BMW,328i,Sedan,33194.74053101376,0.13287995384194837,0.7972355370410545,25362.46141954531,1.0688295352889286e-05,0.7009584440549756,
49,GMC,Sierra 1500,Truck,49180.03008649402,0.11325423194372801,0.8058950953734143,40404.13684389174,8.653227071220574e-06,0.625217808319998,0.1892317433983559
50,Dodge,Journey,Sport Utility,24332.02848636934,0.13693650538619842,0.7375399316682902,21613.55354541836,9.142019496456648e-06,0.6109750347757008,
51,Hyundai,Sonata,Sedan,22156.076916824964,0.1232563244315246,0.7946837523940091,18169.589504929725,9.6656401942127e-06,0.6351494166100442,
52,Chevrolet,Equinox,Sport Utility,25254.644936193414,0.12738663726111524,0.6954105346556554,25753.55394132435,1.1407063535328902e-05,0.6386032202472456,0.44274314694425154
53,Ford,Focus,Sedan,28722.66549364481,0.17233253934975407,0.5072461592352564,16079.070832083702,9.864027561701403e-06,0.3661904573094936,
54,Dodge,Grand Caravan,Van,21205.16451018129,0.11705101477924425,0.6751089494912205,20898.399762086596,8.338057825517693e-06,0.5039074528315177,
55,Audi,Q5,Sport Utility,48994.38569198842,0.16645442582649067,0.9232476861827457,47234.60774992091,1.6246461789442267e-05,0.8920211652126804,0.864062378936785
56,Dodge,Durango,Sport Utility,43646.04386427386,0.14883885551596135,0.6505781564817695,38739.92326584916,1.0888032753080599e-05,0.5683553641264196,0.3804021567674166
57,Hyundai,Elantra,Sedan,16666.493025395866,0.10454913595250273,0.7817452990099669,16426.78232310139,9.549312999318903e-06,0.6082093373922661,0.14952351885291526
58,MINI,Cooper,Hatchback,28021.409177741425,0.1277650637130074,0.8370070608227455,26356.091532416944,1.5330008142062905e-05,0.7590078947240664,0.5358531124258975
59,Nissan,Murano,Wagon,34423.495406895236,0.14244896424041742,0.8314278546652905,24278.259294045503,9.580215211034536e-06,0.5021315144056544,0.5957945408705734
60,Chrysler,300,Sedan,28776.593269923567,0.11972691397224017,0.7551270778705478,24672.27525800631,9.307270678608782e-06,0.5176823698631676,
61,Dodge,Ram 1500 Truck,Truck,45693.45469784025,0.11709218278651101,0.4771729886278476,13974.500773703741,3.3702323074213425e-06,0.16669679474119126,
62,Honda,Fit,Hatchback,19189.6079892552,0.09257171587643122,0.911302324434758,18429.554877543756,9.688166346106451e-06,0.9131950776144142,0.10608104832184817
63,Ford,Ranger,Truck,42369.85067499869,0.12680267693185202,0.9096519318457983,33363.283019633556,1.5075785760779983e-05,0.8042198794013217,0.827706533206495
64,GMC,Suburban,Sport Utility,59425.576036891296,0.15232970305884228,0.8426813626992239,41655.89448762003,8.301451520555952e-06,0.5405987807493688,0.787043198099109
65,Chevrolet,Silverado 2500,Truck,60816.941781864734,0.10501048684071056,0.673290762838522,43157.91357178349,6.328226414173019e-06,0.46461029608993587,-0.14786779489446622
66,Dodge,Sprinter,Van,53778.70465065731,0.10792724239178154,0.40630001208629185,48716.09821313258,7.56444895649535e-06,0.47938007525202053,
67,Hyundai,Santa Fe,Sport Utility,24715.990432398274,0.1177162660760018,0.6346910247077993,26533.03521019143,1.2007383349885853e-05,0.6314326799352361,
68,GMC,Acadia,Sport Utility,34678.54538945651,0.12590692796973882,0.7790873209445051,29447.129930515177,8.278343684752306e-06,0.5244102792821435,0.3153284680763899
69,MAZDA,MAZDA3,Hatchback,24536.393463050765,0.13532924775487837,0.8029550699897048,18433.51526278186,9.34811718808937e-06,0.5579969903982127,
70,Cadillac,CTS,Sedan,55831.03371489149,0.16870496337974736,0.5076965101044284,41539.42204307664,1.3451407449644381e-05,0.5202710651423125,
71,Ford,Expedition,Sport Utility,66979.7981887737,0.20519838370388813,0.9123224070627933,51830.39484660274,1.357211085348338e-05,0.6526969387834778,0.8767504588019374
72,Jeep,Cherokee,Sport Utility,26404.16570894162,0.08501895371907507,0.6095998615611307,25536.4570652315,8.57974870066223e-06,0.6851708622255898,0.4287554073633387
73,Kia,Optima,Sedan,21866.3992509611,0.11601540261639152,0.5612375904862856,21508.912291310688,1.0042507826130915e-05,0.6496790252368936,
74,Nissan,Frontier,Truck,26188.76888565494,0.08169350066341521,0.8177451318775913,25211.92329258176,7.70137114563727e-06,0.8133765597115119,
75,Jeep,Compass,Sport Utility,25195.285338516078,0.1373837470373387,0.695842733659587,25093.17541563567,1.2592164702032803e-05,0.766843145316464,0.23620614884785773
76,Lexus,ES 350,Sedan,43870.077747069554,0.1437508880419518,0.9094567992055838,28701.395141289388,9.702530266072095e-06,0.617172401356656,
77,Mercedes-Benz,S 550,Sedan,102675.83530347607,0.18396726885183476,0.8725461737151258,67093.81908876885,1.3030812637596016e-05,0.5857948836955014,
78,Mercedes-Benz,GLC 300,Sport Utility,51443.091599515436,0.20580024716945786,0.7297271601565127,50848.39012221366,1.8476331618705665e-05,0.7146020815189142,0.7068752310176796
