Entry,Make,Model,a,b,c,R2 (median),R2 (all)
60,Volkswagen,Passat,26750.3393886489,0.2065472859419445,2934.3505065714057,0.9579446855791337,0.7813901897154066
62,Cadillac,Escalade,73133.93643173904,0.13669043983973087,6.098101133078645e-14,0.9451902714479482,0.93538896595146
63,MAZDA,MAZDA3,26355.778463024493,0.21299905351816706,3616.3830455854268,0.9686863982145302,0.6544919520566618
64,Nissan,Rogue,23080.386822523134,0.11535758686954967,6.553409804884052e-13,0.9401021007525313,0.747321243608059
65,Audi,A3,33819.93335291195,0.18146020105122193,3100.758771661746,0.9874842640024413,0.90270935295288
66,Dodge,Charger,36038.798008117585,0.14179682643857966,3.674473786770792e-05,0.8148183811341885,0.6320127688555792
67,Chevrolet,Equinox,19716.403559681996,0.10000000000000002,1290.0934552006224,0.9275702773180136,0.556749957133831
68,Dodge,Ram 1500 Truck,50969.2137081062,0.11485932737381678,1.5341664991780745e-10,0.9279857248776074,0.5262116169628602
69,Subaru,Forester,30427.03123661781,0.13633531263363177,1699.0484464572044,0.974808169543935,0.8931050763265744
70,Nissan,Sentra,14013.0211798067,0.11963193227531117,1835.8719964733596,0.8778216515072087,0.7305786831536768
72,Toyota,Sequoia,64723.54612400508,0.12854916758335258,4.054136231385004e-09,0.9559493472504721,0.8637704189247798
73,BMW,M3,60383.01681223747,0.17073973750927818,14738.07352138787,0.8649402104092773,0.8305275987150715
74,Hyundai,Elantra,16783.019132167967,0.10000000000013173,7.283447263400339e-08,0.9575322598724766,0.7871645640573244
75,Dodge,Ram 2500 Truck,180529.7758749633,0.268057413309025,19405.832222807578,0.3533387997809244,0.12009210747532562
76,Acura,RDX,38569.927892929285,0.17247345334442937,2905.1416593892436,0.9920981803859745,0.955878793732487
77,Honda,HR-V,23616.462239788867,0.10000000000000002,2098.772304074948,0.8351883029411981,0.43771556796840405
78,Mitsubishi,Outlander,30165.735022595713,0.16436494554337358,1.0250289999387194e-10,0.6306979705202473,-0.11250595175732214
79,Chevrolet,Impala,23059.285656185042,0.1308883408424626,1.4400691928764998e-14,0.9219717107768176,0.5137336976773317
80,Lexus,IS 250,43264.224603221955,0.13011294481883562,7.336584286594082e-10,0.9396922800269684,0.8936020520059864
81,Lexus,ES 350,43575.6757181303,0.19680134257675114,5161.559116434294,0.9596193037389134,0.9029957721639009
82,Jeep,Cherokee,16737.34968441255,0.10000000000000178,4982.295980913176,0.8366158309013693,0.43700358867090805
83,Hyundai,Sonata,21485.552848038333,0.1504618972646963,2125.0226122197737,0.9436940906686745,0.7670733494964488
84,Audi,Q7,57546.18409947469,0.14477041823096562,5.4319171388520285e-09,0.9894083616498556,0.9291214298851934
85,MINI,Cooper Countryman,38407.9564112307,0.1569294227966978,2.148813197767249e-09,0.8577488751915167,0.8437613385824397
86,Mercedes-Benz,S 550,91398.9292998699,0.18061791162798657,3925.7912863639717,0.9653031309829462,0.8948452291670113
87,GMC,Yukon XL,49587.98438405665,0.1255958915742594,1.7840902518630435e-15,0.9847801244094132,0.9366499032276568
88,Porsche,Boxster,55887.92260241932,0.1000000000000018,5968.841536342035,0.8317875208743725,0.7962799058534233
89,Dodge,Grand Caravan,19699.011951551387,0.10000000000000002,345.71495169355455,0.7394907695942958,0.46887114568761346
90,BMW,M340i,41720.49993558305,0.55,16695.00006466383,-inf,-0.10477951639918204
91,Mercedes-Benz,GLC 300,17113.09355457717,0.73773840679168,26150.229536487546,0.9506265874949513,0.5904912332675087
92,Nissan,Maxima,30486.624490645267,0.17896436862063708,2303.2903919527944,0.9520341353424099,0.6993724946106987
93,Acura,TL,34404.69940091515,0.1576871986815268,2996.780877230158,0.9367648168817433,0.6995402973073366
94,INFINITI,Q50,20515.39345567723,0.17605275100848566,11549.46243550209,0.8945934863145307,0.4320489767704243
95,Cadillac,CTS,47162.38293031656,0.10000000000829885,7.78642687292976e-09,0.5609382895699976,0.06630873171222873
96,Mitsubishi,Outlander Sport,20748.188515563088,0.1056702398833912,5.272264988285803e-09,0.9544440718209016,0.6078865319308739
97,INFINITI,G37,38851.22267357811,0.1131335743389614,3.336452263991499e-09,0.7911113587154068,0.39768035749408925
98,Toyota,Prius Prime,10000.000000000002,0.31511213780585257,20203.262656935956,0.9994483139625274,0.22831914795974906
99,Porsche,Panamera,199999.99999999997,0.4414301761109987,27300.391430339143,0.9018664448674867,0.8162632298085285
100,Chevrolet,Malibu,20028.015892643896,0.11776019977611193,1114.2342111908172,0.9117401845458446,0.6941491197712736
